num_features,reduction_methos,sensivity_mean,sensivity_std,specificity_mean,specificity_std,precision_mean,precision_std
1,None,0.21999999999999997,0.16532795690182994,0.9133333333333333,0.04058894279347402,0.21681940017386264,0.04058894279347402
4,None,0.37500000000000006,0.18745369798669986,0.9305555555555556,0.03868996743662254,0.3968706391647568,0.03868996743662254
7,None,0.4299999999999999,0.2070963275601209,0.9366666666666665,0.036496048980962995,0.441991341991342,0.036496048980962995
10,None,0.4750000000000001,0.21245914639969934,0.9416666666666667,0.031563075090850566,0.4812642897738805,0.031563075090850566
13,None,0.5199999999999999,0.22135943621178655,0.9466666666666667,0.03877408097274786,0.537993248581484,0.03877408097274786
16,None,0.5050000000000001,0.23027761023985324,0.945,0.036331237905370434,0.5190781496180771,0.036331237905370434
19,None,0.5450000000000002,0.2006240264773888,0.9494444444444443,0.03439163614148563,0.5682661782661783,0.03439163614148563
22,None,0.55,0.20816659994661327,0.95,0.03302324907430926,0.5669063572543179,0.03302324907430926
25,None,0.5549999999999999,0.1921371038260613,0.9505555555555555,0.02862294493374824,0.5691303258145364,0.02862294493374824
28,None,0.55,0.1810463415200036,0.9499999999999998,0.030202789685740906,0.568584811387443,0.030202789685740906
31,None,0.5599999999999999,0.19407902170679514,0.9511111111111111,0.03442651863295482,0.5846802590768108,0.03442651863295482
34,None,0.565,0.20282723902101732,0.9516666666666668,0.03849447255138849,0.5962939232138316,0.03849447255138849
37,None,0.5850000000000001,0.20419217527722372,0.9538888888888888,0.032924446910913695,0.6071525498924879,0.032924446910913695
40,None,0.5599999999999999,0.18973665961010275,0.9511111111111111,0.04063960510917097,0.5997258799851679,0.04063960510917097
43,None,0.55,0.2041241452319315,0.95,0.03813196348513704,0.5802403401552009,0.03813196348513704
46,None,0.6,0.16996731711975951,0.9555555555555555,0.03323029341653031,0.6296982038429407,0.03323029341653031
49,None,0.62,0.1766981104093143,0.9577777777777777,0.034960294939005036,0.6545795806360821,0.034960294939005036
52,None,0.6050000000000001,0.1499073788117924,0.9561111111111111,0.03518031155330571,0.6412637012540264,0.03518031155330571
55,None,0.6049999999999999,0.15356865999719257,0.956111111111111,0.0351803115533057,0.6387529510131812,0.0351803115533057
58,None,0.615,0.147290340635238,0.9572222222222223,0.03722636792833545,0.6587518220357722,0.03722636792833545
61,None,0.6399999999999999,0.13080944580232387,0.96,0.03118597694077169,0.6741481071960947,0.03118597694077169
64,None,0.67,0.11832159566199231,0.9633333333333333,0.024031301033345692,0.6951689727721447,0.024031301033345692
67,None,0.6699999999999999,0.11595018087284055,0.9633333333333333,0.01980702512166064,0.6877885097358781,0.01980702512166064
70,None,0.675,0.1136515141415488,0.9638888888888889,0.023166659265179253,0.6997117794486216,0.023166659265179253
73,None,0.6500000000000001,0.14529663145135577,0.961111111111111,0.02400274332743652,0.6709764849456293,0.02400274332743652
76,None,0.6699999999999999,0.1378404875209022,0.9633333333333333,0.026084173128383712,0.6949481162583879,0.026084173128383712
79,None,0.6849999999999999,0.16507574019219176,0.9650000000000001,0.02593253883916342,0.7093665203352135,0.02593253883916342
82,None,0.6799999999999999,0.16020819787597218,0.9644444444444444,0.0256867272361477,0.6994093642550399,0.0256867272361477
85,None,0.66,0.1629587541544042,0.9622222222222222,0.027567102319893906,0.6837096426659994,0.027567102319893906
88,None,0.675,0.15138251770487457,0.9638888888888888,0.0262218560342709,0.6989233869845324,0.0262218560342709
91,None,0.665,0.1453921899170959,0.9627777777777778,0.02963541610163668,0.6949007936507936,0.02963541610163668
94,None,0.645,0.1571446608843089,0.9605555555555554,0.02611702060787369,0.6684414665696499,0.02611702060787369
97,None,0.6399999999999999,0.1577621275493231,0.96,0.029373896383553127,0.6707939160045769,0.029373896383553127
100,None,0.6300000000000001,0.16865480854231354,0.9588888888888889,0.030338736912996142,0.6621643049932524,0.030338736912996142
103,None,0.625,0.1620185174601965,0.9583333333333333,0.031887361773560295,0.6604918599594868,0.031887361773560295
106,None,0.6449999999999999,0.17392527130926083,0.9605555555555554,0.029681667266885665,0.6777716448311414,0.029681667266885665
109,None,0.65,0.17950549357115014,0.961111111111111,0.030429030972509218,0.681747889791368,0.030429030972509218
112,None,0.66,0.16633299933166196,0.9622222222222222,0.02949041368502871,0.6892452153110047,0.02949041368502871
115,None,0.67,0.15846485765339616,0.9633333333333333,0.027115563285515756,0.6937184795880447,0.027115563285515756
118,None,0.6900000000000001,0.17126976771553504,0.9655555555555555,0.026937920808841737,0.7093170961592014,0.026937920808841737
121,None,0.675,0.18446619684315546,0.9638888888888889,0.027746896414392028,0.6963541386374204,0.027746896414392028
124,None,0.6900000000000001,0.20110804171997806,0.9655555555555555,0.02818224056258786,0.7082358211963474,0.02818224056258786
127,None,0.6849999999999999,0.18566696588844828,0.9650000000000001,0.028090828578127804,0.7026293859649122,0.028090828578127804
130,None,0.6799999999999999,0.18287822299126935,0.9644444444444444,0.02871266287898416,0.6987691961073315,0.02871266287898416
133,None,0.65,0.18856180831641264,0.961111111111111,0.029397236789606564,0.6700108604845447,0.029397236789606564
136,None,0.67,0.1669996673316713,0.9633333333333333,0.02930376362200366,0.6953941379753539,0.02930376362200366
139,None,0.6650000000000001,0.1650757401921918,0.9627777777777778,0.028814005510866537,0.6903301611025535,0.028814005510866537
142,None,0.655,0.18173546098045304,0.9616666666666667,0.028742506627689898,0.6772928279450019,0.028742506627689898
145,None,0.655,0.18173546098045304,0.9616666666666667,0.028502881716029525,0.6776451487321052,0.028502881716029525
148,None,0.6450000000000001,0.16906606203887675,0.9605555555555556,0.02850288171602951,0.6687806097411361,0.02850288171602951
151,None,0.6500000000000001,0.1615893285805443,0.961111111111111,0.027715980642769946,0.6695940458009424,0.027715980642769946
154,None,0.665,0.15994790818680105,0.9627777777777778,0.025932538839163407,0.6829756387403446,0.025932538839163407
157,None,0.6650000000000001,0.15284342024147168,0.9627777777777778,0.026456216904432426,0.6834183774483231,0.026456216904432426
160,None,0.68,0.16865480854231357,0.9644444444444444,0.02514702992113772,0.6937979987848408,0.02514702992113772
163,None,0.6849999999999999,0.1795828499606797,0.9649999999999999,0.02343159790798019,0.6940988104901484,0.02343159790798019
166,None,0.68,0.16193277068654824,0.9644444444444444,0.024872790207971587,0.6952897674221203,0.024872790207971587
169,None,0.7050000000000001,0.1571446608843089,0.9672222222222222,0.02244487226092695,0.7181577681577681,0.02244487226092695
172,None,0.7000000000000001,0.1452966314513558,0.9666666666666668,0.024145194093343144,0.7186591478696742,0.024145194093343144
175,None,0.68,0.1636391694484477,0.9644444444444444,0.02528303431981632,0.6989892623716153,0.02528303431981632
178,None,0.6950000000000001,0.14615440845595837,0.9661111111111111,0.02304793120995861,0.7115532153575282,0.02304793120995861
181,None,0.7,0.15634719199411432,0.9666666666666666,0.026835882863313787,0.7204976919632091,0.026835882863313787
184,None,0.68,0.1456784892227477,0.9644444444444444,0.026345806287079616,0.6984661743485272,0.026345806287079616
187,None,0.66,0.1559914527573012,0.9622222222222222,0.02589945738821792,0.6777322122085548,0.02589945738821792
190,None,0.68,0.17826322609494585,0.9644444444444444,0.028472786805603816,0.7023891303647896,0.028472786805603816
193,None,0.6900000000000001,0.1646545204697129,0.9655555555555557,0.02339498029237594,0.7038899884155198,0.02339498029237594
196,None,0.6950000000000001,0.1623610517061007,0.9661111111111109,0.026765506127181107,0.7191834263947267,0.026765506127181107
1,PCA,0.21999999999999997,0.16532795690182994,0.9133333333333333,0.04058894279347402,0.21681940017386264,0.04058894279347402
4,PCA,0.36500000000000005,0.17004901254246277,0.9294444444444444,0.03768416142025549,0.3868483803777921,0.03768416142025549
7,PCA,0.4299999999999999,0.2070963275601209,0.9366666666666665,0.036496048980962995,0.441991341991342,0.036496048980962995
10,PCA,0.4750000000000001,0.21245914639969934,0.9416666666666667,0.031563075090850566,0.4812642897738805,0.031563075090850566
13,PCA,0.5199999999999999,0.22135943621178655,0.9466666666666667,0.03877408097274786,0.537993248581484,0.03877408097274786
16,PCA,0.5050000000000001,0.23027761023985324,0.945,0.036331237905370434,0.5190781496180771,0.036331237905370434
19,PCA,0.5450000000000002,0.2006240264773888,0.9494444444444443,0.03439163614148563,0.5682661782661783,0.03439163614148563
22,PCA,0.55,0.20816659994661327,0.95,0.03302324907430926,0.5669063572543179,0.03302324907430926
25,PCA,0.5549999999999999,0.1921371038260613,0.9505555555555555,0.02862294493374824,0.5691303258145364,0.02862294493374824
28,PCA,0.55,0.1810463415200036,0.9499999999999998,0.030202789685740906,0.568584811387443,0.030202789685740906
31,PCA,0.5599999999999999,0.19407902170679514,0.9511111111111111,0.03442651863295482,0.5846802590768108,0.03442651863295482
34,PCA,0.565,0.20282723902101732,0.9516666666666668,0.03849447255138849,0.5962939232138316,0.03849447255138849
37,PCA,0.5850000000000001,0.20419217527722372,0.9538888888888888,0.032924446910913695,0.6071525498924879,0.032924446910913695
