label,num_features,reduction_methos,sensivity,specificity,precision
blues,1,None,0.0,1.0,nan
blues,4,None,0.0,1.0,nan
blues,7,None,0.0,1.0,nan
blues,10,None,0.0,1.0,nan
blues,13,None,0.0,1.0,nan
blues,16,None,0.1,1.0,1.0
blues,19,None,0.1,1.0,1.0
blues,22,None,0.35,0.9944444444444445,0.875
blues,25,None,0.3,0.9944444444444445,0.8571428571428571
blues,28,None,0.25,0.9944444444444445,0.8333333333333334
blues,31,None,0.3,0.9833333333333333,0.6666666666666666
blues,34,None,0.3,0.9888888888888889,0.75
blues,37,None,0.3,0.9888888888888889,0.75
blues,40,None,0.35,0.9777777777777777,0.6363636363636364
blues,43,None,0.4,0.9888888888888889,0.8
blues,46,None,0.4,0.9833333333333333,0.7272727272727273
blues,49,None,0.35,0.9833333333333333,0.7
blues,52,None,0.3,0.9833333333333333,0.6666666666666666
blues,55,None,0.3,0.9888888888888889,0.75
blues,58,None,0.4,0.9888888888888889,0.8
blues,61,None,0.4,0.9888888888888889,0.8
blues,64,None,0.35,0.9777777777777777,0.6363636363636364
blues,67,None,0.4,0.9777777777777777,0.6666666666666666
blues,70,None,0.5,0.9777777777777777,0.7142857142857143
blues,73,None,0.5,0.9833333333333333,0.7692307692307693
blues,76,None,0.45,0.9833333333333333,0.75
blues,79,None,0.55,0.9833333333333333,0.7857142857142857
blues,82,None,0.55,0.9777777777777777,0.7333333333333333
blues,85,None,0.55,0.9777777777777777,0.7333333333333333
blues,88,None,0.65,0.9666666666666667,0.6842105263157895
blues,91,None,0.65,0.9611111111111111,0.65
blues,94,None,0.65,0.9611111111111111,0.65
blues,97,None,0.65,0.9555555555555556,0.6190476190476191
blues,100,None,0.65,0.9555555555555556,0.6190476190476191
blues,103,None,0.6,0.95,0.5714285714285714
blues,106,None,0.6,0.9666666666666667,0.6666666666666666
blues,109,None,0.65,0.9444444444444444,0.5652173913043478
blues,112,None,0.65,0.9444444444444444,0.5652173913043478
blues,115,None,0.6,0.9444444444444444,0.5454545454545454
blues,118,None,0.55,0.9555555555555556,0.5789473684210527
blues,121,None,0.55,0.9555555555555556,0.5789473684210527
blues,124,None,0.55,0.95,0.55
blues,127,None,0.55,0.95,0.55
