label,num_features,reduction_methos,sensivity,specificity,precision
blues,1,None,0.0,1.0,nan
blues,4,None,0.0,1.0,nan
blues,7,None,0.0,1.0,nan
blues,10,None,0.0,1.0,nan
blues,13,None,0.0,1.0,nan
blues,16,None,0.0,1.0,nan
blues,19,None,0.0,1.0,nan
blues,22,None,0.0,1.0,nan
blues,25,None,0.0,1.0,nan
blues,28,None,0.0,1.0,nan
blues,31,None,0.0,1.0,nan
blues,34,None,0.0,1.0,nan
blues,37,None,0.0,1.0,nan
blues,40,None,0.0,1.0,nan
blues,43,None,0.0,1.0,nan
blues,46,None,0.0,1.0,nan
blues,49,None,0.0,1.0,nan
blues,52,None,0.0,1.0,nan
blues,55,None,0.0,1.0,nan
blues,58,None,0.0,1.0,nan
blues,61,None,0.0,1.0,nan
blues,64,None,0.0,1.0,nan
blues,67,None,0.0,1.0,nan
blues,70,None,0.0,1.0,nan
blues,73,None,0.0,1.0,nan
blues,76,None,0.0,1.0,nan
blues,79,None,0.0,1.0,nan
blues,82,None,0.0,1.0,nan
blues,85,None,0.0,1.0,nan
blues,88,None,0.0,1.0,nan
blues,91,None,0.0,1.0,nan
blues,94,None,0.0,1.0,nan
blues,97,None,0.0,1.0,nan
blues,100,None,0.0,1.0,nan
blues,103,None,0.0,1.0,nan
blues,106,None,0.0,1.0,nan
blues,109,None,0.0,1.0,nan
blues,112,None,0.0,1.0,nan
blues,115,None,0.0,1.0,nan
blues,118,None,0.0,1.0,nan
blues,121,None,0.0,1.0,nan
blues,124,None,0.0,1.0,nan
blues,127,None,0.0,1.0,nan
blues,130,None,0.0,1.0,nan
blues,133,None,0.0,1.0,nan
blues,136,None,0.0,1.0,nan
blues,139,None,0.0,1.0,nan
blues,142,None,0.0,1.0,nan
blues,145,None,0.0,1.0,nan
blues,148,None,0.0,1.0,nan
blues,151,None,0.0,1.0,nan
blues,154,None,0.0,1.0,nan
blues,157,None,0.0,1.0,nan
blues,160,None,0.0,1.0,nan
blues,163,None,0.0,1.0,nan
blues,166,None,0.0,1.0,nan
blues,169,None,0.0,1.0,nan
blues,172,None,0.0,1.0,nan
blues,175,None,0.0,1.0,nan
blues,178,None,0.0,1.0,nan
blues,181,None,0.0,1.0,nan
