label,num_features,reduction_methos,sensivity,specificity,precision
blues,1,None,0.5,0.7388888888888889,0.17543859649122806
blues,4,None,0.95,0.65,0.23170731707317074
blues,7,None,0.95,0.6722222222222223,0.24358974358974358
blues,10,None,0.9,0.7166666666666667,0.2608695652173913
blues,13,None,0.95,0.7555555555555555,0.30158730158730157
blues,16,None,0.9,0.7555555555555555,0.2903225806451613
blues,19,None,0.9,0.7611111111111111,0.29508196721311475
blues,22,None,0.75,0.7888888888888889,0.2830188679245283
blues,25,None,0.7,0.8222222222222222,0.30434782608695654
blues,28,None,0.7,0.8166666666666667,0.2978723404255319
blues,31,None,0.55,0.8444444444444444,0.28205128205128205
blues,34,None,0.55,0.8388888888888889,0.275
blues,37,None,0.6,0.8388888888888889,0.2926829268292683
blues,40,None,0.6,0.8277777777777777,0.27906976744186046
blues,43,None,0.7,0.8333333333333334,0.3181818181818182
blues,46,None,0.55,0.8555555555555555,0.2972972972972973
blues,49,None,0.6,0.8444444444444444,0.3
blues,52,None,0.5,0.8555555555555555,0.2777777777777778
blues,55,None,0.55,0.8555555555555555,0.2972972972972973
blues,58,None,0.55,0.85,0.2894736842105263
blues,61,None,0.5,0.8611111111111112,0.2857142857142857
blues,64,None,0.5,0.8555555555555555,0.2777777777777778
blues,67,None,0.5,0.85,0.2702702702702703
blues,70,None,0.55,0.85,0.2894736842105263
blues,73,None,0.45,0.9,0.3333333333333333
blues,76,None,0.35,0.9166666666666666,0.3181818181818182
blues,79,None,0.4,0.9111111111111111,0.3333333333333333
blues,82,None,0.45,0.9166666666666666,0.375
blues,85,None,0.4,0.9166666666666666,0.34782608695652173
blues,88,None,0.5,0.9222222222222223,0.4166666666666667
blues,91,None,0.45,0.9333333333333333,0.42857142857142855
blues,94,None,0.3,0.9277777777777778,0.3157894736842105
blues,97,None,0.35,0.9333333333333333,0.3684210526315789
blues,100,None,0.4,0.9444444444444444,0.4444444444444444
blues,103,None,0.35,0.9333333333333333,0.3684210526315789
blues,106,None,0.35,0.9444444444444444,0.4117647058823529
blues,109,None,0.35,0.9388888888888889,0.3888888888888889
blues,112,None,0.3,0.9555555555555556,0.42857142857142855
blues,115,None,0.25,0.95,0.35714285714285715
blues,118,None,0.25,0.9555555555555556,0.38461538461538464
blues,121,None,0.2,0.9555555555555556,0.3333333333333333
blues,124,None,0.1,0.9666666666666667,0.25
blues,127,None,Null,Null,Null
blues,130,None,Null,Null,Null
blues,133,None,Null,Null,Null
blues,136,None,Null,Null,Null
blues,139,None,Null,Null,Null
blues,142,None,Null,Null,Null
blues,145,None,Null,Null,Null
blues,148,None,Null,Null,Null
blues,151,None,Null,Null,Null
blues,154,None,Null,Null,Null
blues,157,None,Null,Null,Null
blues,160,None,Null,Null,Null
blues,163,None,Null,Null,Null
blues,166,None,Null,Null,Null
blues,169,None,Null,Null,Null
blues,172,None,Null,Null,Null
blues,175,None,Null,Null,Null
blues,178,None,Null,Null,Null
blues,181,None,Null,Null,Null
blues,184,None,Null,Null,Null
blues,187,None,Null,Null,Null
blues,190,None,Null,Null,Null
blues,193,None,Null,Null,Null
blues,196,None,Null,Null,Null
blues,1,PCA,1.0,0.0,0.1
blues,4,PCA,0.95,0.6666666666666666,0.24050632911392406
blues,7,PCA,0.95,0.6777777777777778,0.24675324675324675
blues,10,PCA,1.0,0.7444444444444445,0.30303030303030304
blues,13,PCA,0.95,0.7555555555555555,0.30158730158730157
blues,16,PCA,0.95,0.75,0.296875
blues,19,PCA,0.9,0.7833333333333333,0.3157894736842105
blues,22,PCA,0.7,0.7722222222222223,0.2545454545454545
blues,25,PCA,0.65,0.8,0.2653061224489796
blues,28,PCA,0.7,0.8166666666666667,0.2978723404255319
blues,31,PCA,0.55,0.8444444444444444,0.28205128205128205
blues,34,PCA,0.5,0.8388888888888889,0.2564102564102564
blues,37,PCA,0.6,0.8277777777777777,0.27906976744186046
blues,40,PCA,0.6,0.8444444444444444,0.3
blues,43,PCA,0.65,0.85,0.325
blues,46,PCA,0.65,0.85,0.325
blues,49,PCA,0.7,0.8555555555555555,0.35
blues,52,PCA,0.65,0.8444444444444444,0.3170731707317073
blues,55,PCA,0.6,0.8722222222222222,0.34285714285714286
blues,58,PCA,0.55,0.8555555555555555,0.2972972972972973
blues,61,PCA,0.55,0.8722222222222222,0.3235294117647059
blues,64,PCA,0.5,0.8555555555555555,0.2777777777777778
blues,67,PCA,0.5,0.8611111111111112,0.2857142857142857
blues,70,PCA,0.55,0.8611111111111112,0.3055555555555556
blues,73,PCA,0.5,0.8944444444444445,0.3448275862068966
blues,76,PCA,0.35,0.9166666666666666,0.3181818181818182
blues,79,PCA,0.4,0.9111111111111111,0.3333333333333333
blues,82,PCA,0.45,0.9055555555555556,0.34615384615384615
blues,85,PCA,0.45,0.9166666666666666,0.375
blues,88,PCA,0.5,0.9277777777777778,0.43478260869565216
blues,91,PCA,0.45,0.9333333333333333,0.42857142857142855
blues,94,PCA,0.35,0.9388888888888889,0.3888888888888889
blues,97,PCA,0.4,0.9555555555555556,0.5
blues,100,PCA,0.4,0.9555555555555556,0.5
blues,103,PCA,0.35,0.9333333333333333,0.3684210526315789
blues,106,PCA,0.4,0.9555555555555556,0.5
blues,109,PCA,0.4,0.9666666666666667,0.5714285714285714
blues,112,PCA,0.3,0.9611111111111111,0.46153846153846156
blues,115,PCA,0.25,0.9555555555555556,0.38461538461538464
blues,118,PCA,0.25,0.9611111111111111,0.4166666666666667
