label,num_features,reduction_methos,sensivity,specificity,precision
blues,1,None,0.1,0.9888888888888889,0.5
blues,4,None,0.15,0.9777777777777777,0.42857142857142855
blues,7,None,0.15,0.9777777777777777,0.42857142857142855
blues,10,None,0.3,0.9833333333333333,0.6666666666666666
blues,13,None,0.25,0.9833333333333333,0.625
blues,16,None,0.2,0.9833333333333333,0.5714285714285714
blues,19,None,0.15,0.9777777777777777,0.42857142857142855
blues,22,None,0.1,0.9833333333333333,0.4
blues,25,None,0.2,0.9888888888888889,0.6666666666666666
blues,28,None,0.3,0.9777777777777777,0.6
blues,31,None,0.35,0.9944444444444445,0.875
blues,34,None,0.3,0.9888888888888889,0.75
blues,37,None,0.35,0.9833333333333333,0.7
blues,40,None,0.35,0.9722222222222222,0.5833333333333334
blues,43,None,0.3,0.9777777777777777,0.6
blues,46,None,0.35,0.9666666666666667,0.5384615384615384
blues,49,None,0.3,0.9666666666666667,0.5
blues,52,None,0.3,0.9666666666666667,0.5
blues,55,None,0.3,0.9666666666666667,0.5
blues,58,None,0.35,0.9722222222222222,0.5833333333333334
blues,61,None,0.35,0.9666666666666667,0.5384615384615384
blues,64,None,0.4,0.9777777777777777,0.6666666666666666
blues,67,None,0.35,0.9777777777777777,0.6363636363636364
blues,70,None,0.3,0.9722222222222222,0.5454545454545454
blues,73,None,0.35,0.9722222222222222,0.5833333333333334
blues,76,None,0.45,0.9833333333333333,0.75
blues,79,None,0.45,0.9833333333333333,0.75
blues,82,None,0.5,0.9833333333333333,0.7692307692307693
blues,85,None,0.5,0.9777777777777777,0.7142857142857143
blues,88,None,0.45,0.9888888888888889,0.8181818181818182
blues,91,None,0.5,0.9888888888888889,0.8333333333333334
blues,94,None,0.45,0.9888888888888889,0.8181818181818182
blues,97,None,0.45,0.9944444444444445,0.9
blues,100,None,0.45,0.9944444444444445,0.9
blues,103,None,0.5,0.9888888888888889,0.8333333333333334
blues,106,None,0.45,0.9888888888888889,0.8181818181818182
blues,109,None,0.45,0.9944444444444445,0.9
blues,112,None,0.45,0.9944444444444445,0.9
blues,115,None,0.45,0.9944444444444445,0.9
blues,118,None,0.5,0.9944444444444445,0.9090909090909091
blues,121,None,0.55,0.9944444444444445,0.9166666666666666
blues,124,None,0.55,0.9888888888888889,0.8461538461538461
blues,127,None,0.55,0.9888888888888889,0.8461538461538461
blues,130,None,0.55,0.9888888888888889,0.8461538461538461
blues,133,None,0.55,0.9833333333333333,0.7857142857142857
blues,136,None,0.55,0.9833333333333333,0.7857142857142857
blues,139,None,0.55,0.9888888888888889,0.8461538461538461
blues,142,None,0.55,0.9944444444444445,0.9166666666666666
blues,145,None,0.55,1.0,1.0
blues,148,None,0.55,1.0,1.0
blues,151,None,0.55,1.0,1.0
blues,154,None,0.55,1.0,1.0
blues,157,None,0.55,1.0,1.0
blues,160,None,0.45,0.9944444444444445,0.9
blues,163,None,0.5,0.9944444444444445,0.9090909090909091
blues,166,None,0.5,0.9944444444444445,0.9090909090909091
blues,169,None,0.5,0.9944444444444445,0.9090909090909091
blues,172,None,0.5,0.9944444444444445,0.9090909090909091
blues,175,None,0.5,0.9944444444444445,0.9090909090909091
blues,178,None,0.5,0.9944444444444445,0.9090909090909091
blues,181,None,0.5,0.9944444444444445,0.9090909090909091
blues,184,None,0.5,0.9944444444444445,0.9090909090909091
blues,187,None,0.45,0.9944444444444445,0.9
blues,190,None,0.4,0.9944444444444445,0.8888888888888888
blues,193,None,0.4,0.9944444444444445,0.8888888888888888
blues,196,None,0.4,0.9944444444444445,0.8888888888888888
blues,1,PCA,0.1,0.9888888888888889,0.5
blues,4,PCA,0.15,0.9888888888888889,0.6
blues,7,PCA,0.15,0.9777777777777777,0.42857142857142855
blues,10,PCA,0.3,0.9888888888888889,0.75
blues,13,PCA,0.25,0.9833333333333333,0.625
blues,16,PCA,0.2,0.9833333333333333,0.5714285714285714
blues,19,PCA,0.15,0.9777777777777777,0.42857142857142855
blues,22,PCA,0.1,0.9833333333333333,0.4
blues,25,PCA,0.2,0.9888888888888889,0.6666666666666666
blues,28,PCA,0.3,0.9777777777777777,0.6
blues,31,PCA,0.35,0.9944444444444445,0.875
blues,34,PCA,0.3,0.9888888888888889,0.75
blues,37,PCA,0.35,0.9833333333333333,0.7
blues,40,PCA,0.35,0.9722222222222222,0.5833333333333334
blues,43,PCA,0.3,0.9777777777777777,0.6
blues,46,PCA,0.35,0.9666666666666667,0.5384615384615384
blues,49,PCA,0.3,0.9666666666666667,0.5
blues,52,PCA,0.3,0.9666666666666667,0.5
blues,55,PCA,0.3,0.9666666666666667,0.5
blues,58,PCA,0.35,0.9722222222222222,0.5833333333333334
blues,61,PCA,0.35,0.9666666666666667,0.5384615384615384
blues,64,PCA,0.4,0.9777777777777777,0.6666666666666666
blues,67,PCA,0.35,0.9777777777777777,0.6363636363636364
blues,70,PCA,0.3,0.9722222222222222,0.5454545454545454
blues,73,PCA,0.35,0.9722222222222222,0.5833333333333334
blues,76,PCA,0.45,0.9833333333333333,0.75
blues,79,PCA,0.45,0.9833333333333333,0.75
blues,82,PCA,0.5,0.9833333333333333,0.7692307692307693
blues,85,PCA,0.5,0.9777777777777777,0.7142857142857143
blues,88,PCA,0.45,0.9888888888888889,0.8181818181818182
blues,91,PCA,0.5,0.9888888888888889,0.8333333333333334
blues,94,PCA,0.45,0.9888888888888889,0.8181818181818182
blues,97,PCA,0.45,0.9944444444444445,0.9
blues,100,PCA,0.45,0.9944444444444445,0.9
blues,103,PCA,0.5,0.9888888888888889,0.8333333333333334
blues,106,PCA,0.45,0.9888888888888889,0.8181818181818182
blues,109,PCA,0.45,0.9944444444444445,0.9
blues,112,PCA,0.45,0.9944444444444445,0.9
blues,115,PCA,0.45,0.9944444444444445,0.9
blues,118,PCA,0.5,0.9944444444444445,0.9090909090909091
blues,121,PCA,0.55,0.9944444444444445,0.9166666666666666
blues,124,PCA,0.55,0.9888888888888889,0.8461538461538461
blues,127,PCA,0.55,0.9888888888888889,0.8461538461538461
blues,130,PCA,0.55,0.9888888888888889,0.8461538461538461
blues,133,PCA,0.55,0.9833333333333333,0.7857142857142857
blues,136,PCA,0.55,0.9833333333333333,0.7857142857142857
blues,139,PCA,0.55,0.9888888888888889,0.8461538461538461
blues,142,PCA,0.55,0.9944444444444445,0.9166666666666666
blues,145,PCA,0.55,1.0,1.0
blues,148,PCA,0.55,1.0,1.0
blues,151,PCA,0.55,1.0,1.0
blues,154,PCA,0.55,1.0,1.0
blues,157,PCA,0.55,1.0,1.0
blues,160,PCA,0.45,0.9944444444444445,0.9
blues,163,PCA,0.5,0.9944444444444445,0.9090909090909091
blues,166,PCA,0.5,0.9944444444444445,0.9090909090909091
blues,169,PCA,0.5,0.9944444444444445,0.9090909090909091
blues,172,PCA,0.5,0.9944444444444445,0.9090909090909091
blues,175,PCA,0.5,0.9944444444444445,0.9090909090909091
blues,178,PCA,0.5,0.9944444444444445,0.9090909090909091
blues,181,PCA,0.5,0.9944444444444445,0.9090909090909091
blues,184,PCA,0.5,0.9944444444444445,0.9090909090909091
blues,187,PCA,0.45,0.9944444444444445,0.9
blues,190,PCA,0.4,0.9944444444444445,0.8888888888888888
blues,193,PCA,0.4,0.9944444444444445,0.8888888888888888
blues,196,PCA,0.4,0.9944444444444445,0.8888888888888888
blues,1,LDA,0.1,0.9888888888888889,0.5
blues,4,LDA,0.2,0.9888888888888889,0.6666666666666666
blues,7,LDA,0.1,0.9888888888888889,0.5
blues,10,LDA,0.3,0.9777777777777777,0.6
blues,13,LDA,0.25,0.9888888888888889,0.7142857142857143
blues,16,LDA,0.25,0.9666666666666667,0.45454545454545453
