label,num_features,reduction_methos,sensivity,specificity,precision
blues,1,None,0.0,1.0,nan
blues,4,None,0.0,1.0,nan
blues,7,None,0.0,1.0,nan
blues,10,None,0.0,1.0,nan
blues,13,None,0.0,1.0,nan
blues,16,None,0.0,1.0,nan
blues,19,None,0.0,1.0,nan
blues,22,None,0.0,1.0,nan
blues,25,None,0.0,1.0,nan
blues,28,None,0.0,1.0,nan
blues,31,None,0.0,1.0,nan
blues,34,None,0.0,1.0,nan
blues,37,None,0.0,1.0,nan
blues,40,None,0.0,1.0,nan
blues,43,None,0.0,1.0,nan
blues,46,None,0.1,1.0,1.0
blues,49,None,0.05,1.0,1.0
blues,52,None,0.05,1.0,1.0
blues,55,None,0.05,1.0,1.0
blues,58,None,0.05,1.0,1.0
blues,61,None,0.15,1.0,1.0
blues,64,None,0.25,1.0,1.0
blues,67,None,0.25,1.0,1.0
blues,70,None,0.2,1.0,1.0
blues,73,None,0.25,1.0,1.0
blues,76,None,0.3,1.0,1.0
blues,79,None,0.3,1.0,1.0
blues,82,None,0.4,1.0,1.0
blues,85,None,0.35,0.9944444444444445,0.875
blues,88,None,0.4,0.9944444444444445,0.8888888888888888
blues,91,None,0.35,0.9944444444444445,0.875
blues,94,None,0.45,0.9944444444444445,0.9
blues,97,None,0.45,0.9944444444444445,0.9
blues,100,None,0.45,0.9944444444444445,0.9
blues,103,None,0.45,0.9944444444444445,0.9
blues,106,None,0.45,0.9944444444444445,0.9
blues,109,None,0.45,0.9944444444444445,0.9
blues,112,None,0.45,0.9944444444444445,0.9
blues,115,None,0.5,0.9944444444444445,0.9090909090909091
blues,118,None,0.45,0.9944444444444445,0.9
blues,121,None,0.5,0.9944444444444445,0.9090909090909091
blues,124,None,0.5,0.9944444444444445,0.9090909090909091
blues,127,None,0.5,0.9944444444444445,0.9090909090909091
blues,130,None,0.5,0.9944444444444445,0.9090909090909091
blues,133,None,0.5,0.9944444444444445,0.9090909090909091
blues,136,None,0.5,0.9944444444444445,0.9090909090909091
blues,139,None,0.5,0.9944444444444445,0.9090909090909091
blues,142,None,0.5,0.9944444444444445,0.9090909090909091
blues,145,None,0.5,0.9944444444444445,0.9090909090909091
