label,num_features,reduction_methos,sensivity,specificity,precision
blues,127,None,0.65,0.9555555555555556,0.6190476190476191
blues,130,None,0.65,0.9555555555555556,0.6190476190476191
blues,133,None,0.75,0.9666666666666667,0.7142857142857143
blues,136,None,0.75,0.9666666666666667,0.7142857142857143
blues,139,None,0.6,0.9666666666666667,0.6666666666666666
blues,142,None,0.65,0.9666666666666667,0.6842105263157895
blues,145,None,0.6,0.9777777777777777,0.75
blues,148,None,0.6,0.9722222222222222,0.7058823529411765
blues,151,None,0.6,0.9666666666666667,0.6666666666666666
blues,154,None,0.65,0.9666666666666667,0.6842105263157895
blues,157,None,0.65,0.9666666666666667,0.6842105263157895
blues,160,None,0.7,0.9555555555555556,0.6363636363636364
blues,163,None,0.7,0.9555555555555556,0.6363636363636364
blues,166,None,0.7,0.95,0.6086956521739131
blues,169,None,0.65,0.9722222222222222,0.7222222222222222
blues,172,None,0.7,0.9611111111111111,0.6666666666666666
blues,175,None,0.65,0.9666666666666667,0.6842105263157895
blues,178,None,0.7,0.9722222222222222,0.7368421052631579
blues,181,None,0.75,0.9611111111111111,0.6818181818181818
blues,184,None,0.65,0.9666666666666667,0.6842105263157895
blues,187,None,0.75,0.9555555555555556,0.6521739130434783
blues,190,None,0.7,0.9722222222222222,0.7368421052631579
blues,193,None,0.75,0.9666666666666667,0.7142857142857143
blues,196,None,0.7,0.9555555555555556,0.6363636363636364
blues,1,PCA,0.0,1.0,nan
blues,4,PCA,0.0,1.0,nan
blues,7,PCA,0.0,1.0,nan
blues,10,PCA,0.0,1.0,nan
blues,13,PCA,0.0,1.0,nan
blues,16,PCA,0.15,1.0,1.0
blues,19,PCA,0.1,1.0,1.0
blues,22,PCA,0.3,0.9888888888888889,0.75
blues,25,PCA,0.3,0.9888888888888889,0.75
blues,28,PCA,0.25,0.9944444444444445,0.8333333333333334
blues,31,PCA,0.3,0.9833333333333333,0.6666666666666666
blues,34,PCA,0.4,0.9777777777777777,0.6666666666666666
blues,37,PCA,0.45,0.9888888888888889,0.8181818181818182
blues,40,PCA,0.45,0.9833333333333333,0.75
blues,43,PCA,0.5,0.9666666666666667,0.625
blues,46,PCA,0.5,0.9777777777777777,0.7142857142857143
blues,49,PCA,0.4,0.9777777777777777,0.6666666666666666
blues,52,PCA,0.35,0.9833333333333333,0.7
blues,55,PCA,0.4,0.9833333333333333,0.7272727272727273
blues,58,PCA,0.35,0.9888888888888889,0.7777777777777778
blues,61,PCA,0.35,0.9888888888888889,0.7777777777777778
blues,64,PCA,0.45,0.9833333333333333,0.75
blues,67,PCA,0.45,0.9833333333333333,0.75
blues,70,PCA,0.5,0.9833333333333333,0.7692307692307693
blues,73,PCA,0.55,0.9833333333333333,0.7857142857142857
blues,76,PCA,0.5,0.9777777777777777,0.7142857142857143
blues,79,PCA,0.6,0.9888888888888889,0.8571428571428571
blues,82,PCA,0.6,0.9722222222222222,0.7058823529411765
blues,85,PCA,0.55,0.9666666666666667,0.6470588235294118
blues,88,PCA,0.6,0.9777777777777777,0.75
blues,91,PCA,0.6,0.9666666666666667,0.6666666666666666
blues,94,PCA,0.65,0.9666666666666667,0.6842105263157895
blues,97,PCA,0.65,0.9666666666666667,0.6842105263157895
blues,100,PCA,0.65,0.9666666666666667,0.6842105263157895
