num_features,reduction_methos,sensivity_mean,sensivity_std,specificity_mean,specificity_std,precision_mean,precision_std
94,None,0.735,0.19010231163478494,0.9705555555555556,0.01852777546411965,0.7336978810663022,0.01852777546411965
97,None,0.72,0.19888578520235062,0.968888888888889,0.019457667461575845,0.7182276838340911,0.019457667461575845
100,None,0.715,0.19443650777453175,0.9683333333333334,0.019431212428999516,0.7128279992393601,0.019431212428999516
103,None,0.7,0.21081851067789192,0.9666666666666666,0.019945054841238912,0.6963654078232083,0.019945054841238912
106,None,0.71,0.1940790217067951,0.9677777777777778,0.021564335745199455,0.7117120642515379,0.021564335745199455
109,None,0.72,0.20027758514399735,0.9688888888888888,0.01945766746157585,0.7177100069692949,0.01945766746157585
112,None,0.72,0.2030325644378808,0.9688888888888888,0.0196331233788127,0.7190683229813664,0.0196331233788127
115,None,0.715,0.1958599272723012,0.9683333333333334,0.019953649995631078,0.7137315715759988,0.019953649995631078
118,None,0.735,0.19300259065618783,0.9705555555555556,0.021122479070531663,0.7360359578614053,0.021122479070531663
121,None,0.745,0.1892235597264663,0.9716666666666667,0.025044541938969152,0.7553696741854636,0.025044541938969152
124,None,0.7449999999999999,0.17070116838759156,0.9716666666666667,0.02182515632383126,0.7533573864328339,0.02182515632383126
127,None,0.74,0.19119507199599978,0.971111111111111,0.023541109010475115,0.7476423902894491,0.023541109010475115
130,None,0.735,0.17167475709090788,0.9705555555555556,0.02222993693247798,0.7442301364897945,0.02222993693247798
133,None,0.7299999999999999,0.17191729277636836,0.97,0.021627853808379907,0.7362936285532866,0.021627853808379907
136,None,0.73,0.1751190071541826,0.97,0.022098420578038964,0.7373986178939739,0.022098420578038964
139,None,0.7249999999999999,0.1767766952966369,0.9694444444444444,0.020662882967056852,0.7317584533293242,0.020662882967056852
142,None,0.715,0.17328524974093373,0.9683333333333334,0.021919230709518966,0.7244430634052387,0.021919230709518966
145,None,0.7299999999999999,0.16532795690182991,0.97,0.01928061494047463,0.7350435022493846,0.01928061494047463
148,None,0.73,0.1766981104093143,0.97,0.022710681061860576,0.7383385737069947,0.022710681061860576
151,None,0.73,0.17352553446427157,0.97,0.023599307143813312,0.7394165136549038,0.023599307143813312
154,None,0.7249999999999999,0.1751983003469053,0.9694444444444444,0.020328239259351993,0.7295248761386532,0.020328239259351993
157,None,0.74,0.1646545204697129,0.971111111111111,0.020918549994730293,0.748502886002886,0.020918549994730293
160,None,0.7499999999999999,0.1509230856356236,0.9722222222222223,0.019598157859737734,0.7584337160424116,0.019598157859737734
163,None,0.74,0.1646545204697129,0.9711111111111113,0.02042081296605961,0.7471556006772726,0.02042081296605961
166,None,0.7649999999999999,0.15643600040343086,0.9738888888888889,0.017963917500411538,0.7697277395806807,0.017963917500411538
169,None,0.7699999999999999,0.14944341180973264,0.9744444444444443,0.016810082545052195,0.7734394368662103,0.016810082545052195
172,None,0.7649999999999999,0.15101508386765725,0.9738888888888889,0.015281985952427973,0.7653575225943647,0.015281985952427973
175,None,0.755,0.15356865999719257,0.9727777777777777,0.016656375423532502,0.7563586667591244,0.016656375423532502
178,None,0.7649999999999999,0.15101508386765725,0.9738888888888889,0.015504767176988487,0.7650529650872899,0.015504767176988487
181,None,0.76,0.1679947089113887,0.9733333333333333,0.016101529717988252,0.7584765836159025,0.016101529717988252
184,None,0.745,0.1623610517061007,0.9716666666666667,0.016239378717328695,0.7446640219086038,0.016239378717328695
