label,num_features,reduction_methos,sensivity,specificity,precision
blues,91,PCA,0.95,0.6277777777777778,0.22093023255813954
blues,94,PCA,1.0,0.6222222222222222,0.22727272727272727
blues,97,PCA,1.0,0.6222222222222222,0.22727272727272727
blues,100,PCA,1.0,0.6111111111111112,0.2222222222222222
blues,103,PCA,1.0,0.6222222222222222,0.22727272727272727
blues,106,PCA,1.0,0.6166666666666667,0.2247191011235955
blues,109,PCA,1.0,0.6166666666666667,0.2247191011235955
blues,112,PCA,1.0,0.6166666666666667,0.2247191011235955
blues,115,PCA,1.0,0.6166666666666667,0.2247191011235955
blues,118,PCA,1.0,0.6222222222222222,0.22727272727272727
blues,121,PCA,1.0,0.6333333333333333,0.23255813953488372
blues,124,PCA,0.95,0.6388888888888888,0.2261904761904762
blues,127,PCA,0.95,0.6444444444444445,0.2289156626506024
blues,130,PCA,0.95,0.6444444444444445,0.2289156626506024
blues,133,PCA,1.0,0.6444444444444445,0.23809523809523808
blues,136,PCA,1.0,0.65,0.24096385542168675
blues,139,PCA,1.0,0.65,0.24096385542168675
blues,142,PCA,0.95,0.6444444444444445,0.2289156626506024
blues,145,PCA,0.95,0.65,0.23170731707317074
blues,148,PCA,0.95,0.65,0.23170731707317074
blues,151,PCA,0.95,0.65,0.23170731707317074
blues,154,PCA,0.95,0.65,0.23170731707317074
blues,157,PCA,0.95,0.6444444444444445,0.2289156626506024
blues,160,PCA,0.95,0.6444444444444445,0.2289156626506024
blues,163,PCA,0.95,0.6444444444444445,0.2289156626506024
blues,166,PCA,0.95,0.6444444444444445,0.2289156626506024
blues,169,PCA,0.95,0.6444444444444445,0.2289156626506024
blues,172,PCA,0.95,0.6444444444444445,0.2289156626506024
blues,175,PCA,0.95,0.6444444444444445,0.2289156626506024
blues,178,PCA,0.95,0.6444444444444445,0.2289156626506024
blues,181,PCA,0.95,0.65,0.23170731707317074
blues,184,PCA,0.95,0.6611111111111111,0.2375
blues,187,PCA,0.95,0.6555555555555556,0.2345679012345679
blues,190,PCA,0.95,0.6611111111111111,0.2375
blues,193,PCA,0.95,0.6555555555555556,0.2345679012345679
blues,196,PCA,0.95,0.6555555555555556,0.2345679012345679
blues,1,LDA,0.5,0.7388888888888889,0.17543859649122806
blues,4,LDA,0.95,0.6666666666666666,0.24050632911392406
blues,7,LDA,0.9,0.6888888888888889,0.24324324324324326
blues,10,LDA,0.9,0.7611111111111111,0.29508196721311475
blues,13,LDA,0.85,0.7888888888888889,0.3090909090909091
blues,16,LDA,0.85,0.7666666666666667,0.288135593220339
blues,19,LDA,0.9,0.7888888888888889,0.32142857142857145
blues,22,LDA,0.75,0.8111111111111111,0.30612244897959184
blues,25,LDA,0.8,0.8055555555555556,0.3137254901960784
blues,28,LDA,0.8,0.8,0.3076923076923077
blues,31,LDA,0.65,0.8055555555555556,0.2708333333333333
